Threshold,Accuracy,Precision,Recall,F1,FPR
0.01,0.7090395480225988,0.648520277676288,0.9121274409044193,0.7580610719624172,0.4938398357289528
0.02,0.7647663071391885,0.708502024291498,0.8992805755395683,0.792572463768116,0.36960985626283366
0.03,0.7999486389316898,0.7527067994802945,0.8931140801644398,0.8169212690951821,0.29312114989733057
0.04,0.844632768361582,0.8146410136086344,0.8920863309352518,0.8516065734608781,0.20277207392197125
0.05,0.8664612223934258,0.8505408062930186,0.8890030832476875,0.8693467336683417,0.15605749486652978
0.06,0.8805855161787365,0.8749367088607595,0.8879753340184995,0.881407804131599,0.12679671457905545
0.07,0.8911145351823317,0.8947095435684648,0.8864337101747174,0.8905524006195147,0.10420944558521561
0.08,0.8998459167950693,0.9107708553326294,0.8864337101747174,0.8984375,0.08675564681724846
0.09,0.9049820236260914,0.9222936763129689,0.8843782117163412,0.9029380902413431,0.07443531827515401
0.1,0.9096045197740112,0.9331521739130435,0.8823227132579651,0.9070258848388801,0.06314168377823409
0.11,0.9129429892141756,0.9417262231995602,0.8802672147995889,0.9099601593625498,0.054414784394250515
0.12,0.9160246533127889,0.9494725152692949,0.8787255909558068,0.9127301841473179,0.04671457905544148
0.13,0.9173086800205444,0.9536312849162011,0.8771839671120246,0.9138115631691649,0.04260780287474333
0.14,0.9188495120698511,0.9594137542277339,0.8746145940390545,0.9150537634408602,0.03696098562628337
0.15,0.9196199280945043,0.9626062322946176,0.8730729701952723,0.9156561573699812,0.033880903490759756
0.16,0.9201335387776066,0.966343411294923,0.8705035971223022,0.9159232224925655,0.030287474332648872
0.17,0.9221879815100154,0.9713138267355135,0.8699897225077081,0.917863919761453,0.02566735112936345
0.18,0.9247560349255265,0.978021978021978,0.8689619732785201,0.9202721088435374,0.019507186858316223
0.19,0.926040061633282,0.9814169570267132,0.868448098663926,0.9214830970556162,0.01642710472279261
0.2,0.9257832562917309,0.982527664531159,0.8669064748201439,0.9211029211029211,0.015400410677618069
0.21,0.926040061633282,0.9836639439906651,0.8663926002055499,0.921311475409836,0.014373716632443531
0.22,0.9270672829994864,0.9871043376318874,0.8653648509763617,0.9222343921139102,0.011293634496919919
0.23,0.9275808936825886,0.9882629107981221,0.8653648509763617,0.9227397260273973,0.01026694045174538
0.24,0.9273240883410375,0.9894055326662743,0.8638232271325796,0.9223593964334705,0.009240246406570842
0.25,0.9268104776579353,0.9893930465527401,0.8627954779033916,0.9217677738127916,0.009240246406570842
0.26,0.9265536723163842,0.9899645808736718,0.8617677286742035,0.9214285714285714,0.008726899383983572
0.27,0.9268104776579353,0.9905493207324276,0.8617677286742035,0.921681780708986,0.008213552361396304
0.28,0.9268104776579353,0.9917110716400237,0.8607399794450155,0.921595598349381,0.007186858316221766
0.29,0.9268104776579353,0.9917110716400237,0.8607399794450155,0.921595598349381,0.007186858316221766
0.3,0.9268104776579353,0.9917110716400237,0.8607399794450155,0.921595598349381,0.007186858316221766
0.31,0.9265536723163842,0.9922894424673784,0.8597122302158273,0.9212555066079295,0.006673511293634497
0.32,0.9268104776579353,0.9928783382789318,0.8597122302158273,0.92150922610851,0.006160164271047228
0.33,0.9268104776579353,0.9928783382789318,0.8597122302158273,0.92150922610851,0.006160164271047228
0.34,0.9270672829994864,0.9940546967895363,0.8591983556012333,0.9217199558985667,0.00513347022587269
0.35,0.9268104776579353,0.9940511600237953,0.8586844809866393,0.9214226633581473,0.00513347022587269
0.36,0.9265536723163842,0.9940476190476191,0.8581706063720452,0.9211252068394925,0.00513347022587269
0.37,0.926296866974833,0.9940440738534843,0.8576567317574512,0.9208275862068965,0.00513347022587269
0.38,0.926296866974833,0.9940440738534843,0.8576567317574512,0.9208275862068965,0.00513347022587269
0.39,0.926296866974833,0.9940440738534843,0.8576567317574512,0.9208275862068965,0.00513347022587269
0.4,0.926040061633282,0.9940405244338498,0.8571428571428571,0.9205298013245033,0.00513347022587269
0.41,0.926040061633282,0.9940405244338498,0.8571428571428571,0.9205298013245033,0.00513347022587269
0.42,0.926040061633282,0.9940405244338498,0.8571428571428571,0.9205298013245033,0.00513347022587269
0.43,0.926296866974833,0.9952238805970149,0.8566289825282631,0.9207401270367301,0.004106776180698152
0.44,0.926296866974833,0.9952238805970149,0.8566289825282631,0.9207401270367301,0.004106776180698152
0.45,0.926296866974833,0.99581589958159,0.8561151079136691,0.9206963249516441,0.003593429158110883
0.46,0.926296866974833,0.99581589958159,0.8561151079136691,0.9206963249516441,0.003593429158110883
0.47,0.926296866974833,0.99581589958159,0.8561151079136691,0.9206963249516441,0.003593429158110883
0.48,0.926296866974833,0.99581589958159,0.8561151079136691,0.9206963249516441,0.003593429158110883
0.49,0.926040061633282,0.9958133971291866,0.855601233299075,0.9203980099502488,0.003593429158110883
0.5,0.926040061633282,0.9958133971291866,0.855601233299075,0.9203980099502488,0.003593429158110883
0.51,0.926040061633282,0.9958133971291866,0.855601233299075,0.9203980099502488,0.003593429158110883
0.52,0.9255264509501797,0.9958083832335329,0.854573484069887,0.9198008849557522,0.003593429158110883
0.53,0.9250128402670775,0.9958033573141487,0.8535457348406988,0.9192030990592142,0.003593429158110883
0.54,0.9252696456086287,0.9964007198560288,0.8535457348406988,0.9194575145308608,0.003080082135523614
0.55,0.9252696456086287,0.9964007198560288,0.8535457348406988,0.9194575145308608,0.003080082135523614
0.56,0.9250128402670775,0.9963985594237695,0.8530318602261048,0.9191583610188261,0.003080082135523614
0.57,0.9250128402670775,0.9963985594237695,0.8530318602261048,0.9191583610188261,0.003080082135523614
0.58,0.9250128402670775,0.9963985594237695,0.8530318602261048,0.9191583610188261,0.003080082135523614
0.59,0.9247560349255265,0.9963963963963964,0.8525179856115108,0.9188590418166713,0.003080082135523614
0.6,0.9244992295839753,0.9963942307692307,0.8520041109969168,0.9185595567867036,0.003080082135523614
0.61,0.9244992295839753,0.9963942307692307,0.8520041109969168,0.9185595567867036,0.003080082135523614
0.62,0.9244992295839753,0.9969915764139591,0.8514902363823227,0.9185144124168514,0.002566735112936345
0.63,0.9250128402670775,0.9981927710843373,0.8514902363823227,0.9190238491403216,0.001540041067761807
0.64,0.9247560349255265,0.9981916817359855,0.8509763617677287,0.9187239944521498,0.001540041067761807
0.65,0.9250128402670775,0.9987937273823885,0.8509763617677287,0.9189789123196448,0.001026694045174538
0.66,0.9250128402670775,0.9987937273823885,0.8509763617677287,0.9189789123196448,0.001026694045174538
0.67,0.9250128402670775,0.9987937273823885,0.8509763617677287,0.9189789123196448,0.001026694045174538
0.68,0.9250128402670775,0.9987937273823885,0.8509763617677287,0.9189789123196448,0.001026694045174538
0.69,0.9250128402670775,0.9987937273823885,0.8509763617677287,0.9189789123196448,0.001026694045174538
0.7,0.9250128402670775,0.9987937273823885,0.8509763617677287,0.9189789123196448,0.001026694045174538
0.71,0.9250128402670775,0.9987937273823885,0.8509763617677287,0.9189789123196448,0.001026694045174538
0.72,0.9247560349255265,0.9987929993964997,0.8504624871531347,0.9186788787121843,0.001026694045174538
0.73,0.9244992295839753,0.998792270531401,0.8499486125385406,0.9183786785119378,0.001026694045174538
0.74,0.9244992295839753,0.998792270531401,0.8499486125385406,0.9183786785119378,0.001026694045174538
0.75,0.9244992295839753,0.998792270531401,0.8499486125385406,0.9183786785119378,0.001026694045174538
0.76,0.9244992295839753,0.998792270531401,0.8499486125385406,0.9183786785119378,0.001026694045174538
0.77,0.9242424242424242,0.9987915407854985,0.8494347379239465,0.9180783115801167,0.001026694045174538
0.78,0.9242424242424242,0.9987915407854985,0.8494347379239465,0.9180783115801167,0.001026694045174538
0.79,0.9242424242424242,0.9987915407854985,0.8494347379239465,0.9180783115801167,0.001026694045174538
0.8,0.9239856189008732,0.9987908101571947,0.8489208633093526,0.9177777777777778,0.001026694045174538
0.81,0.9239856189008732,0.9987908101571947,0.8489208633093526,0.9177777777777778,0.001026694045174538
0.82,0.9239856189008732,0.9987908101571947,0.8489208633093526,0.9177777777777778,0.001026694045174538
0.83,0.9239856189008732,0.9987908101571947,0.8489208633093526,0.9177777777777778,0.001026694045174538
0.84,0.9239856189008732,0.9987908101571947,0.8489208633093526,0.9177777777777778,0.001026694045174538
0.85,0.9239856189008732,0.9987908101571947,0.8489208633093526,0.9177777777777778,0.001026694045174538
0.86,0.9239856189008732,0.9987908101571947,0.8489208633093526,0.9177777777777778,0.001026694045174538
